epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,15540.7,0.22519,0.02738,0.01512,0.14929,0.80007,0.9981,0.99813,0.99497,0.99213,0.9981,0.99813,0.99497,0.99471,0.15479,0.01354,0.00014,0.09873,0.76511,0.00166149,0.00166149,0.00166149
113,15679.5,0.22375,0.02724,0.01448,0.14622,0.79845,0.99808,0.99814,0.99497,0.99217,0.99808,0.99814,0.99497,0.99471,0.15443,0.01348,0.00013,0.09808,0.76502,0.00158667,0.00158667,0.00158667
114,15817.3,0.22164,0.02846,0.01385,0.14536,0.80061,0.99816,0.99814,0.99497,0.9921,0.99816,0.99814,0.99497,0.99471,0.15393,0.01337,0.00013,0.09839,0.76474,0.00151336,0.00151336,0.00151336
115,15955.7,0.2209,0.02951,0.01446,0.14549,0.79936,0.99816,0.99815,0.99497,0.99198,0.99816,0.99815,0.99497,0.99472,0.15357,0.01331,0.00013,0.09864,0.76472,0.00144161,0.00144161,0.00144161
116,16094.8,0.22093,0.03029,0.01531,0.14494,0.79954,0.99817,0.99815,0.99498,0.99201,0.99817,0.99815,0.99498,0.99472,0.15312,0.01325,0.00013,0.09853,0.76492,0.00137143,0.00137143,0.00137143
117,16233.3,0.21519,0.0271,0.01368,0.14203,0.79656,0.99816,0.99823,0.99498,0.9926,0.99816,0.99823,0.99498,0.99472,0.15257,0.01323,0.00013,0.09756,0.76492,0.00130287,0.00130287,0.00130287
118,16371.6,0.21712,0.02867,0.01393,0.1427,0.79832,0.99817,0.99823,0.99498,0.99211,0.99817,0.99823,0.99498,0.99472,0.1522,0.01321,0.00013,0.0971,0.7649,0.00123596,0.00123596,0.00123596
119,16510,0.21463,0.02781,0.01384,0.14016,0.80053,0.99818,0.99824,0.99498,0.992,0.99818,0.99824,0.99498,0.99472,0.15204,0.01317,0.00012,0.09754,0.76475,0.00117072,0.00117072,0.00117072
120,16648.6,0.21326,0.02486,0.0142,0.13979,0.80084,0.9982,0.99824,0.99498,0.99209,0.9982,0.99824,0.99498,0.99472,0.15171,0.01315,0.00012,0.09738,0.76463,0.00110718,0.00110718,0.00110718
121,16787.1,0.21057,0.02753,0.01516,0.13936,0.79662,0.99821,0.99825,0.99498,0.9921,0.99821,0.99825,0.99498,0.99474,0.15133,0.01312,0.00012,0.09703,0.76455,0.00104537,0.00104537,0.00104537
122,16925.4,0.21217,0.02713,0.01443,0.13808,0.7999,0.99863,0.99838,0.99498,0.99217,0.99863,0.99838,0.99498,0.99473,0.15106,0.01308,0.00012,0.09716,0.76423,0.000985311,0.000985311,0.000985311
123,17063.5,0.20874,0.02646,0.0132,0.13737,0.79836,0.99863,0.99839,0.99498,0.99229,0.99863,0.99839,0.99498,0.99476,0.15067,0.01307,0.00012,0.09681,0.76406,0.00092704,0.00092704,0.00092704
124,17201.9,0.2119,0.02777,0.01398,0.13803,0.79605,0.99863,0.9984,0.99498,0.99228,0.99863,0.9984,0.99498,0.99476,0.15043,0.01305,0.00011,0.09662,0.76392,0.000870577,0.000870577,0.000870577
125,17340.4,0.20635,0.02407,0.01331,0.13493,0.79649,0.99863,0.9984,0.99498,0.99226,0.99863,0.9984,0.99498,0.99476,0.15023,0.01301,0.00011,0.09638,0.76379,0.000815947,0.000815947,0.000815947
126,17478.2,0.2041,0.02506,0.01331,0.13493,0.79437,0.99862,0.9984,0.99498,0.99232,0.99862,0.9984,0.99498,0.99478,0.14995,0.01299,0.00011,0.09607,0.76361,0.000763174,0.000763174,0.000763174
127,17615.6,0.20222,0.02678,0.01362,0.13378,0.79453,0.99863,0.99839,0.99498,0.99235,0.99863,0.99839,0.99498,0.99479,0.14971,0.01295,0.00011,0.09557,0.76351,0.000712282,0.000712282,0.000712282
128,17753.3,0.20499,0.02517,0.01302,0.13339,0.79766,0.99863,0.99839,0.99498,0.99238,0.99863,0.99839,0.99498,0.9948,0.14938,0.01292,0.00011,0.09545,0.76339,0.000663292,0.000663292,0.000663292
129,17891.5,0.2045,0.02429,0.01377,0.13392,0.79756,0.99863,0.99839,0.99498,0.99242,0.99863,0.99839,0.99498,0.9948,0.14911,0.01289,0.00011,0.09517,0.76332,0.000616227,0.000616227,0.000616227
130,18030.1,0.20267,0.02495,0.01265,0.13208,0.79768,0.99863,0.9984,0.99498,0.99239,0.99863,0.9984,0.99498,0.99476,0.14888,0.01286,0.0001,0.09499,0.76326,0.000571106,0.000571106,0.000571106
131,18168.9,0.20202,0.02563,0.01276,0.13173,0.79582,0.99863,0.99841,0.99498,0.99241,0.99863,0.99841,0.99498,0.99476,0.14871,0.01282,0.0001,0.09484,0.7632,0.00052795,0.00052795,0.00052795
132,18307.9,0.20246,0.02667,0.01296,0.13238,0.79245,0.99863,0.99841,0.99498,0.99243,0.99863,0.99841,0.99498,0.99475,0.14846,0.0128,0.0001,0.09476,0.76317,0.000486777,0.000486777,0.000486777
133,18446,0.20301,0.02556,0.01288,0.13216,0.79485,0.99863,0.99841,0.99498,0.99236,0.99863,0.99841,0.99498,0.99475,0.14814,0.01278,0.0001,0.09461,0.76317,0.000447606,0.000447606,0.000447606
134,18583.5,0.19898,0.02411,0.01329,0.12976,0.79698,0.99864,0.99842,0.99498,0.99244,0.99864,0.99842,0.99498,0.99476,0.14803,0.01277,0.0001,0.09476,0.76312,0.000410454,0.000410454,0.000410454
135,18722.1,0.19658,0.02503,0.0127,0.12941,0.79405,0.99864,0.99842,0.99498,0.99248,0.99864,0.99842,0.99498,0.99475,0.14785,0.01275,0.0001,0.09502,0.76303,0.000375337,0.000375337,0.000375337
136,18860.9,0.20068,0.02418,0.0129,0.12999,0.79638,0.99864,0.99843,0.99498,0.99247,0.99864,0.99843,0.99498,0.99477,0.14769,0.01274,0.0001,0.09507,0.76294,0.00034227,0.00034227,0.00034227
137,18999.6,0.19925,0.02376,0.01319,0.13003,0.79444,0.99863,0.99843,0.99499,0.99251,0.99863,0.99843,0.99499,0.99481,0.14754,0.01272,9e-05,0.09488,0.76289,0.000311268,0.000311268,0.000311268
