epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,3778.61,0.38654,0.07265,0.03623,0.25792,0.84495,0.99283,0.99835,0.99469,0.96592,0.99283,0.99835,0.99469,0.99331,0.27415,0.0304,0.00143,0.18459,0.80219,0.00928405,0.00928405,0.00928405
28,3917.4,0.37682,0.07191,0.03345,0.25665,0.84202,0.99512,0.99603,0.99477,0.96986,0.99512,0.99603,0.99477,0.99349,0.26577,0.02747,0.00105,0.17863,0.79804,0.00922942,0.00922942,0.00922942
29,4055.46,0.38048,0.06896,0.03284,0.25359,0.84076,0.99412,0.99702,0.99492,0.9713,0.99412,0.99702,0.99492,0.99388,0.27011,0.02897,0.00122,0.18097,0.80004,0.00917296,0.00917296,0.00917296
30,4194.06,0.37581,0.06699,0.03322,0.2501,0.84324,0.99343,0.99737,0.99452,0.9697,0.99343,0.99737,0.99452,0.99365,0.25779,0.02736,0.00119,0.17291,0.79201,0.00911469,0.00911469,0.00911469
31,4331.83,0.37176,0.07039,0.03315,0.24825,0.83962,0.99495,0.99747,0.99491,0.97521,0.99495,0.99747,0.99491,0.99367,0.2601,0.02774,0.00109,0.17754,0.79432,0.00905463,0.00905463,0.00905463
32,4469.86,0.3715,0.07052,0.03357,0.25072,0.84186,0.99416,0.99693,0.99479,0.97266,0.99416,0.99693,0.99479,0.99335,0.25473,0.02723,0.00124,0.17261,0.79235,0.00899282,0.00899282,0.00899282
33,4607.93,0.3658,0.06467,0.02985,0.24731,0.83637,0.99433,0.99734,0.99485,0.971,0.99433,0.99734,0.99485,0.99351,0.25578,0.026,0.00105,0.16938,0.79181,0.00892928,0.00892928,0.00892928
34,4746.07,0.3637,0.06801,0.03279,0.24462,0.84019,0.99447,0.99643,0.99479,0.97579,0.99447,0.99643,0.99479,0.99376,0.25439,0.02685,0.00111,0.17052,0.79522,0.00886404,0.00886404,0.00886404
35,4885.4,0.35693,0.06434,0.03167,0.23957,0.83717,0.99471,0.99657,0.99478,0.97651,0.99471,0.99657,0.99478,0.99332,0.24543,0.02596,0.00107,0.16834,0.7917,0.00879713,0.00879713,0.00879713
36,5023.89,0.35539,0.06272,0.03222,0.23742,0.83695,0.99549,0.99692,0.99492,0.97598,0.99549,0.99692,0.99492,0.99374,0.24303,0.02538,0.00122,0.16151,0.7905,0.00872857,0.00872857,0.00872857
37,5161.56,0.355,0.06676,0.03017,0.23691,0.83657,0.9947,0.99809,0.99489,0.97998,0.9947,0.99809,0.99489,0.99376,0.24093,0.02429,0.00112,0.16231,0.78957,0.00865839,0.00865839,0.00865839
38,5300.34,0.35035,0.0645,0.03022,0.23503,0.83365,0.9955,0.99717,0.99493,0.97899,0.9955,0.99717,0.99493,0.99394,0.24047,0.02492,0.00118,0.16147,0.78741,0.00858664,0.00858664,0.00858664
39,5439.01,0.34809,0.06017,0.02866,0.23556,0.83408,0.99586,0.99725,0.99493,0.97753,0.99586,0.99725,0.99493,0.99393,0.23772,0.02453,0.00086,0.15563,0.78696,0.00851333,0.00851333,0.00851333
40,5576.84,0.35008,0.06475,0.02952,0.23433,0.833,0.99645,0.99732,0.99493,0.97825,0.99645,0.99732,0.99493,0.99374,0.23365,0.02457,0.00082,0.15675,0.78619,0.00843851,0.00843851,0.00843851
41,5715.44,0.3448,0.05871,0.02931,0.23046,0.83275,0.99582,0.99734,0.99495,0.97954,0.99582,0.99734,0.99495,0.99362,0.23113,0.02368,0.00075,0.15384,0.78672,0.0083622,0.0083622,0.0083622
42,5853.45,0.348,0.06598,0.03036,0.23083,0.83598,0.99542,0.99698,0.99492,0.97857,0.99542,0.99698,0.99492,0.9937,0.23055,0.02388,0.00078,0.1508,0.78721,0.00828443,0.00828443,0.00828443
43,5992.97,0.3393,0.05934,0.02702,0.22752,0.83079,0.99597,0.99716,0.99488,0.98004,0.99597,0.99716,0.99488,0.99348,0.23002,0.02336,0.00076,0.1515,0.78782,0.00820525,0.00820525,0.00820525
44,6131.93,0.33713,0.05985,0.02883,0.22762,0.83275,0.99617,0.99682,0.99492,0.98276,0.99617,0.99682,0.99492,0.99396,0.2236,0.02291,0.00078,0.14892,0.78602,0.00812468,0.00812468,0.00812468
45,6270.29,0.33851,0.05774,0.02736,0.22572,0.82995,0.99611,0.99736,0.99497,0.97901,0.99611,0.99736,0.99497,0.99404,0.22395,0.02228,0.0007,0.14629,0.78583,0.00804277,0.00804277,0.00804277
46,6408.56,0.33739,0.05651,0.02756,0.2256,0.82872,0.99557,0.99682,0.99494,0.98148,0.99557,0.99682,0.99494,0.99393,0.22438,0.0223,0.00078,0.14767,0.78584,0.00795954,0.00795954,0.00795954
47,6547.28,0.3413,0.06035,0.02751,0.22432,0.83222,0.99698,0.99717,0.99494,0.98214,0.99698,0.99717,0.99494,0.99384,0.21985,0.02146,0.00074,0.14507,0.78513,0.00787503,0.00787503,0.00787503
48,6684.81,0.32759,0.05761,0.02745,0.21589,0.83071,0.99615,0.99715,0.99493,0.98412,0.99615,0.99715,0.99493,0.99382,0.21494,0.02136,0.00068,0.1419,0.78258,0.00778929,0.00778929,0.00778929
49,6822.96,0.33086,0.05781,0.0274,0.21974,0.8295,0.99672,0.99676,0.99494,0.98353,0.99672,0.99676,0.99494,0.99378,0.21743,0.02134,0.00072,0.14125,0.78318,0.00770234,0.00770234,0.00770234
50,6960.82,0.33053,0.05509,0.02578,0.21926,0.82913,0.99594,0.99677,0.99491,0.98331,0.99594,0.99677,0.99491,0.99399,0.21518,0.02113,0.00058,0.14015,0.78389,0.00761423,0.00761423,0.00761423
51,7099.07,0.32528,0.05206,0.0247,0.21541,0.82688,0.99643,0.99729,0.99493,0.9832,0.99643,0.99729,0.99493,0.99394,0.21527,0.02032,0.00054,0.141,0.78296,0.007525,0.007525,0.007525
52,7237.65,0.32336,0.0548,0.02497,0.21358,0.82547,0.99667,0.99772,0.99497,0.98365,0.99667,0.99772,0.99497,0.99428,0.21426,0.02038,0.0006,0.13917,0.78276,0.00743468,0.00743468,0.00743468
53,7376.01,0.32275,0.05194,0.02518,0.21469,0.82699,0.99672,0.99744,0.99488,0.9849,0.99672,0.99744,0.99488,0.99405,0.20623,0.02018,0.0006,0.13313,0.77936,0.00734332,0.00734332,0.00734332
54,7513.71,0.31727,0.05269,0.02571,0.21079,0.82504,0.99621,0.99747,0.99495,0.98503,0.99621,0.99747,0.99495,0.99429,0.21019,0.01984,0.00057,0.1367,0.78043,0.00725094,0.00725094,0.00725094
55,7651.74,0.31839,0.05335,0.02518,0.20996,0.8264,0.99579,0.99739,0.99496,0.98447,0.99579,0.99739,0.99496,0.99425,0.20938,0.01959,0.00056,0.13657,0.78192,0.00715761,0.00715761,0.00715761
56,7790.56,0.31951,0.05356,0.02386,0.21285,0.8227,0.9966,0.99675,0.9949,0.98421,0.9966,0.99675,0.9949,0.9943,0.20658,0.01967,0.00056,0.13678,0.77964,0.00706335,0.00706335,0.00706335
57,7928.81,0.31458,0.04964,0.02469,0.2115,0.82488,0.99612,0.99779,0.99494,0.98354,0.99612,0.99779,0.99494,0.9943,0.2032,0.01907,0.00053,0.13393,0.77782,0.0069682,0.0069682,0.0069682
58,8066.65,0.31276,0.04917,0.02361,0.20727,0.82412,0.99614,0.99779,0.99485,0.98708,0.99614,0.99779,0.99485,0.99379,0.20115,0.01943,0.00051,0.13297,0.77671,0.00687222,0.00687222,0.00687222
