epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,420.47,1.14247,1.27324,1.51917,0.85888,0.62045,0.76253,0.54009,0.92926,1.03735,1.34985,0.00995697,0.00995697,0.00995697
44,429.285,1.13057,1.25566,1.52362,0.80771,0.632,0.76165,0.54465,0.94685,0.93409,1.36029,0.0099549,0.0099549,0.0099549
45,437.902,1.1111,1.23021,1.49801,0.75328,0.66582,0.72529,0.53769,0.89649,0.97279,1.3162,0.00995278,0.00995278,0.00995278
46,446.776,1.07687,1.21341,1.50679,0.83043,0.64165,0.7463,0.541,0.8949,1.00784,1.30537,0.00995062,0.00995062,0.00995062
47,455.587,1.07347,1.17088,1.4567,0.73506,0.70032,0.78877,0.5705,0.88016,0.87343,1.2845,0.0099484,0.0099484,0.0099484
48,464.469,1.08446,1.20006,1.48218,0.83894,0.68898,0.78508,0.5637,0.88756,0.87391,1.30393,0.00994614,0.00994614,0.00994614
49,473.171,1.07204,1.20171,1.47044,0.82218,0.69316,0.78691,0.56676,0.89717,1.00894,1.30753,0.00994383,0.00994383,0.00994383
50,482.022,1.12388,1.18325,1.49408,0.82565,0.62299,0.75673,0.54879,0.91126,0.89264,1.31708,0.00994147,0.00994147,0.00994147
51,490.701,1.07068,1.11611,1.45432,0.79229,0.68923,0.7888,0.58276,0.86915,0.97424,1.28533,0.00993906,0.00993906,0.00993906
52,499.65,1.07283,1.09379,1.43672,0.77752,0.746,0.80102,0.58114,0.87315,0.90203,1.28887,0.0099366,0.0099366,0.0099366
53,508.566,1.09343,1.0946,1.4328,0.7481,0.72844,0.79291,0.5873,0.90899,0.90294,1.32181,0.0099341,0.0099341,0.0099341
54,517.433,1.06148,1.10079,1.43449,0.847,0.69364,0.80448,0.58962,0.848,0.85065,1.26869,0.00993154,0.00993154,0.00993154
55,526.255,1.00961,1.07752,1.43383,0.8338,0.74389,0.82981,0.6037,0.86845,0.80962,1.26748,0.00992894,0.00992894,0.00992894
56,535.012,1.05015,1.07574,1.42985,0.8598,0.64885,0.7925,0.58801,0.85586,0.92773,1.26843,0.00992629,0.00992629,0.00992629
57,544.21,1.01953,1.03524,1.41737,0.85461,0.70721,0.83287,0.61425,0.85401,0.81301,1.25841,0.00992359,0.00992359,0.00992359
58,553.176,1.0059,1.02222,1.38858,0.70529,0.80723,0.82303,0.60277,0.84817,0.91965,1.26109,0.00992085,0.00992085,0.00992085
59,561.769,1.03074,1.03596,1.40079,0.66951,0.75526,0.82497,0.61034,0.8975,0.84548,1.3021,0.00991805,0.00991805,0.00991805
60,570.253,1.017,1.00931,1.42371,0.78667,0.78653,0.84666,0.61497,0.91041,0.83822,1.30361,0.00991521,0.00991521,0.00991521
61,579.681,0.98864,0.9941,1.37307,0.83223,0.78647,0.88104,0.63792,0.82572,0.77024,1.23071,0.00991232,0.00991232,0.00991232
62,588.933,0.98524,0.98429,1.39867,0.78921,0.78189,0.85286,0.62985,0.82428,0.78077,1.2355,0.00990938,0.00990938,0.00990938
63,597.792,0.99423,0.97923,1.38138,0.74619,0.84745,0.87143,0.63895,0.80936,0.76989,1.22641,0.0099064,0.0099064,0.0099064
64,606.459,0.999,0.98075,1.38855,0.78671,0.82933,0.85545,0.63484,0.8241,0.74265,1.24277,0.00990336,0.00990336,0.00990336
65,615.336,0.96572,0.9094,1.3514,0.78239,0.79839,0.84725,0.59281,0.93203,0.83717,1.32251,0.00990028,0.00990028,0.00990028
66,624.057,0.99323,0.9264,1.40049,0.76273,0.76728,0.83695,0.62177,0.81529,0.79385,1.22465,0.00989715,0.00989715,0.00989715
67,633.135,0.99724,0.91283,1.34289,0.73958,0.8175,0.85022,0.64306,0.80396,0.74327,1.22119,0.00989398,0.00989398,0.00989398
68,641.976,0.99032,0.94577,1.36779,0.82629,0.80426,0.85969,0.65062,0.81001,0.80185,1.22467,0.00989075,0.00989075,0.00989075
69,651.141,0.98449,0.94347,1.38189,0.79858,0.83381,0.8807,0.65563,0.80344,0.71867,1.22209,0.00988748,0.00988748,0.00988748
70,660.066,0.92663,0.92438,1.34863,0.79412,0.83474,0.8718,0.63988,0.82542,0.74888,1.23402,0.00988416,0.00988416,0.00988416
71,668.943,0.96381,0.92856,1.35694,0.84202,0.79386,0.85148,0.63773,0.81219,0.76038,1.21427,0.00988079,0.00988079,0.00988079
72,678.271,0.946,0.91078,1.34486,0.82575,0.80542,0.84924,0.63154,0.82494,0.81978,1.22736,0.00987737,0.00987737,0.00987737
73,687.236,0.92033,0.89536,1.31871,0.88032,0.78207,0.86871,0.65664,0.79853,0.71891,1.20382,0.00987391,0.00987391,0.00987391
74,696.279,0.96661,0.88488,1.3103,0.82527,0.80626,0.85584,0.62528,0.8164,0.71358,1.23261,0.0098704,0.0098704,0.0098704
75,705.416,0.97025,0.92103,1.35274,0.83851,0.83475,0.89094,0.67379,0.79727,0.74718,1.20607,0.00986684,0.00986684,0.00986684
76,714.401,0.92094,0.89582,1.35449,0.85034,0.84045,0.8857,0.66945,0.78327,0.73122,1.20715,0.00986323,0.00986323,0.00986323
77,723.347,0.93762,0.86855,1.32277,0.86393,0.76962,0.879,0.66462,0.80661,0.68797,1.20361,0.00985958,0.00985958,0.00985958
78,732.181,0.92259,0.86128,1.31074,0.81956,0.80989,0.87759,0.65491,0.80407,0.81631,1.21445,0.00985588,0.00985588,0.00985588
79,741.032,0.94207,0.85649,1.29938,0.72236,0.86514,0.86584,0.646,0.82096,0.68732,1.20591,0.00985213,0.00985213,0.00985213
80,749.802,0.91865,0.86703,1.33758,0.87998,0.82551,0.9045,0.68352,0.78168,0.67275,1.18698,0.00984833,0.00984833,0.00984833
81,758.619,0.92356,0.84518,1.28394,0.83516,0.77614,0.85587,0.64053,0.79291,0.69153,1.19162,0.00984449,0.00984449,0.00984449
82,767.335,0.9101,0.85107,1.33645,0.82562,0.83766,0.89533,0.68959,0.76641,0.68969,1.18129,0.0098406,0.0098406,0.0098406
83,776.13,0.91845,0.81609,1.29826,0.78864,0.86225,0.88227,0.67353,0.79068,0.65157,1.18993,0.00983666,0.00983666,0.00983666
84,784.816,0.9066,0.8268,1.29117,0.8344,0.80979,0.88684,0.6863,0.78275,0.70552,1.18505,0.00983267,0.00983267,0.00983267
85,793.583,0.91554,0.81697,1.28168,0.78311,0.71887,0.84064,0.62122,0.86275,0.7745,1.25149,0.00982864,0.00982864,0.00982864
86,802.303,0.90782,0.81279,1.31092,0.89154,0.84072,0.89154,0.67605,0.77677,0.64708,1.16962,0.00982456,0.00982456,0.00982456
87,811.197,0.91451,0.80482,1.28002,0.79713,0.88086,0.90412,0.69465,0.75147,0.69749,1.16122,0.00982043,0.00982043,0.00982043
88,819.949,0.8543,0.80577,1.27458,0.76643,0.88854,0.88174,0.68215,0.77415,0.66427,1.17278,0.00981626,0.00981626,0.00981626
89,828.567,0.88089,0.79324,1.27745,0.80403,0.87555,0.90607,0.69337,0.77371,0.66354,1.16626,0.00981204,0.00981204,0.00981204
90,837.321,0.86849,0.78079,1.2579,0.87517,0.87056,0.91113,0.70202,0.77663,0.64203,1.16804,0.00980777,0.00980777,0.00980777
91,846.254,0.91663,0.80302,1.26541,0.82726,0.83912,0.88883,0.66731,0.80151,0.75522,1.19639,0.00980345,0.00980345,0.00980345
92,854.923,0.8642,0.76658,1.24636,0.86449,0.84105,0.90107,0.68862,0.7526,0.63844,1.1565,0.00979909,0.00979909,0.00979909
93,863.465,0.90665,0.81477,1.3091,0.86447,0.81866,0.88459,0.67559,0.78713,0.67654,1.19089,0.00979468,0.00979468,0.00979468
94,872.331,0.8502,0.76375,1.27074,0.82741,0.88474,0.9172,0.70488,0.75013,0.66199,1.1651,0.00979023,0.00979023,0.00979023
95,881.096,0.8678,0.77832,1.28537,0.80563,0.85532,0.90029,0.69841,0.75858,0.61574,1.1603,0.00978572,0.00978572,0.00978572
96,889.788,0.89754,0.79761,1.2752,0.8908,0.8037,0.91299,0.70111,0.76165,0.62078,1.17721,0.00978118,0.00978118,0.00978118
97,898.602,0.85373,0.74394,1.2579,0.84696,0.85671,0.93252,0.71326,0.75894,0.6416,1.16229,0.00977658,0.00977658,0.00977658
98,907.289,0.86877,0.75249,1.26855,0.83999,0.80306,0.89331,0.6803,0.77376,0.68684,1.18519,0.00977194,0.00977194,0.00977194
99,916.149,0.85913,0.7419,1.23048,0.85971,0.82392,0.91011,0.70523,0.74203,0.62427,1.1442,0.00976725,0.00976725,0.00976725
100,924.901,0.88206,0.75853,1.25605,0.86021,0.85517,0.92009,0.70245,0.76736,0.62584,1.16448,0.00976251,0.00976251,0.00976251
101,933.698,0.87304,0.74112,1.23757,0.8042,0.87593,0.90398,0.68528,0.75025,0.62878,1.1546,0.00975773,0.00975773,0.00975773
102,942.649,0.88033,0.75945,1.24573,0.79947,0.91932,0.92846,0.70745,0.72988,0.59737,1.13845,0.0097529,0.0097529,0.0097529
103,951.632,0.82199,0.71384,1.24031,0.83234,0.87775,0.90274,0.69749,0.77514,0.60711,1.16871,0.00974803,0.00974803,0.00974803
104,960.531,0.82647,0.72093,1.24122,0.71334,0.91827,0.90512,0.67149,0.77649,0.6326,1.17638,0.0097431,0.0097431,0.0097431
105,969.496,0.85768,0.75198,1.26357,0.84969,0.86809,0.90032,0.70556,0.7305,0.60499,1.14485,0.00973814,0.00973814,0.00973814
106,978.79,0.87077,0.72277,1.21289,0.78659,0.88006,0.90266,0.69673,0.74733,0.62743,1.16774,0.00973312,0.00973312,0.00973312
107,987.735,0.81694,0.71458,1.24097,0.813,0.8483,0.91587,0.70066,0.74662,0.64444,1.15972,0.00972806,0.00972806,0.00972806
108,996.816,0.86385,0.70986,1.22425,0.87745,0.86871,0.93725,0.70752,0.74984,0.61575,1.1542,0.00972296,0.00972296,0.00972296
109,1005.7,0.85509,0.73546,1.26075,0.80947,0.87771,0.90461,0.71099,0.73799,0.61632,1.15766,0.0097178,0.0097178,0.0097178
110,1014.6,0.81599,0.71672,1.25969,0.84653,0.86566,0.90494,0.69511,0.74318,0.60388,1.16029,0.0097126,0.0097126,0.0097126
111,1023.62,0.8616,0.72946,1.2651,0.80827,0.90428,0.91594,0.71135,0.73076,0.61727,1.14802,0.00970736,0.00970736,0.00970736
112,1032.54,0.84403,0.74515,1.24309,0.80733,0.92375,0.95182,0.72567,0.75007,0.61153,1.14524,0.00970207,0.00970207,0.00970207
113,1041.25,0.84296,0.72177,1.2512,0.82895,0.90481,0.91786,0.7117,0.75592,0.59097,1.158,0.00969673,0.00969673,0.00969673
114,1049.99,0.7982,0.70834,1.23286,0.86671,0.8811,0.90965,0.70241,0.74972,0.59879,1.14872,0.00969135,0.00969135,0.00969135
115,1058.78,0.81797,0.70497,1.22212,0.81342,0.91551,0.93463,0.72999,0.73201,0.57753,1.14474,0.00968592,0.00968592,0.00968592
116,1067.46,0.81829,0.70547,1.21395,0.85066,0.87964,0.93713,0.73006,0.72642,0.58412,1.14138,0.00968045,0.00968045,0.00968045
117,1076.27,0.81527,0.673,1.2104,0.8496,0.89065,0.91727,0.72011,0.72325,0.59632,1.13598,0.00967493,0.00967493,0.00967493
118,1085,0.78029,0.65667,1.17881,0.8125,0.86338,0.91671,0.70464,0.7474,0.58625,1.15749,0.00966936,0.00966936,0.00966936
119,1093.71,0.87282,0.71823,1.23724,0.83412,0.89004,0.91969,0.72779,0.7215,0.59446,1.14168,0.00966375,0.00966375,0.00966375
120,1102.97,0.80598,0.67646,1.21328,0.82435,0.91356,0.92582,0.72508,0.72096,0.56217,1.12633,0.0096581,0.0096581,0.0096581
121,1112.21,0.79762,0.68018,1.21244,0.86249,0.89769,0.93171,0.73699,0.725,0.5594,1.13109,0.00965239,0.00965239,0.00965239
122,1121.43,0.83255,0.69344,1.21692,0.90042,0.87073,0.9402,0.72734,0.72218,0.57166,1.13499,0.00964665,0.00964665,0.00964665
123,1130.33,0.79527,0.67862,1.23643,0.84272,0.94859,0.95974,0.75463,0.7208,0.55422,1.12681,0.00964085,0.00964085,0.00964085
124,1139.22,0.78596,0.65928,1.20017,0.84092,0.93369,0.93636,0.73447,0.71682,0.55112,1.13349,0.00963502,0.00963502,0.00963502
125,1148,0.80682,0.66249,1.22254,0.8313,0.91706,0.92505,0.72688,0.7313,0.56411,1.13226,0.00962913,0.00962913,0.00962913
126,1156.92,0.78545,0.65139,1.21347,0.87882,0.89697,0.94959,0.74059,0.71982,0.55164,1.12097,0.0096232,0.0096232,0.0096232
127,1165.55,0.77544,0.67989,1.19533,0.87234,0.90247,0.94104,0.7271,0.74006,0.56523,1.15238,0.00961723,0.00961723,0.00961723
128,1174.54,0.83752,0.67946,1.22476,0.88518,0.85589,0.94498,0.7436,0.72629,0.57207,1.13607,0.00961121,0.00961121,0.00961121
129,1183.66,0.84158,0.69352,1.23577,0.87713,0.89096,0.96886,0.76162,0.71863,0.58192,1.13098,0.00960515,0.00960515,0.00960515
130,1192.37,0.83448,0.65779,1.21026,0.90544,0.83553,0.95113,0.74476,0.70505,0.55506,1.11631,0.00959904,0.00959904,0.00959904
131,1200.94,0.78447,0.65616,1.19282,0.82431,0.89498,0.93953,0.73496,0.71727,0.56764,1.12115,0.00959289,0.00959289,0.00959289
132,1210.08,0.78599,0.65153,1.19511,0.86597,0.9261,0.96689,0.75641,0.69838,0.54176,1.11874,0.00958669,0.00958669,0.00958669
133,1218.94,0.78759,0.65395,1.18889,0.85259,0.92756,0.97299,0.7653,0.71661,0.53684,1.13105,0.00958044,0.00958044,0.00958044
134,1228.23,0.82833,0.66104,1.17486,0.81419,0.92687,0.97079,0.76416,0.71471,0.5504,1.13021,0.00957416,0.00957416,0.00957416
135,1237.25,0.79585,0.65439,1.17801,0.89602,0.89144,0.96987,0.7656,0.71193,0.5743,1.12579,0.00956782,0.00956782,0.00956782
136,1246.59,0.79224,0.63267,1.18091,0.8811,0.91877,0.96819,0.75206,0.72199,0.5578,1.12988,0.00956145,0.00956145,0.00956145
137,1255.68,0.79668,0.63963,1.1812,0.88214,0.9041,0.96453,0.77508,0.70368,0.54686,1.10648,0.00955502,0.00955502,0.00955502
138,1264.66,0.77401,0.63157,1.18844,0.83462,0.90926,0.94552,0.74247,0.7161,0.53031,1.13162,0.00954856,0.00954856,0.00954856
139,1273.46,0.80278,0.63279,1.17218,0.87776,0.89207,0.9351,0.73003,0.73567,0.57788,1.145,0.00954205,0.00954205,0.00954205
140,1282.32,0.80362,0.62969,1.18115,0.83882,0.89477,0.94556,0.74688,0.69188,0.53393,1.10465,0.00953549,0.00953549,0.00953549
141,1291.08,0.77775,0.64258,1.18442,0.83571,0.8799,0.92589,0.72649,0.69998,0.55841,1.10393,0.00952889,0.00952889,0.00952889
142,1299.97,0.79243,0.64439,1.20404,0.84482,0.9277,0.9521,0.74001,0.70332,0.567,1.10639,0.00952225,0.00952225,0.00952225
143,1308.71,0.78852,0.59858,1.16801,0.88855,0.8923,0.93442,0.73305,0.71129,0.54503,1.11204,0.00951556,0.00951556,0.00951556
144,1317.72,0.78124,0.63359,1.19623,0.89721,0.9086,0.94982,0.75455,0.69777,0.52209,1.10038,0.00950883,0.00950883,0.00950883
145,1326.75,0.77679,0.61865,1.18892,0.87036,0.89338,0.95147,0.74807,0.70309,0.54004,1.11264,0.00950206,0.00950206,0.00950206
146,1335.47,0.77164,0.63083,1.21254,0.8312,0.93207,0.95675,0.75181,0.71349,0.54195,1.12302,0.00949524,0.00949524,0.00949524
147,1344.06,0.76998,0.60774,1.18504,0.89353,0.90574,0.95849,0.75214,0.70628,0.53225,1.12444,0.00948837,0.00948837,0.00948837
148,1353.12,0.77375,0.6136,1.1819,0.88697,0.89553,0.95825,0.76456,0.70184,0.56356,1.11852,0.00948147,0.00948147,0.00948147
149,1362.05,0.78101,0.6105,1.16328,0.9064,0.87401,0.95208,0.75112,0.70694,0.52739,1.1172,0.00947452,0.00947452,0.00947452
150,1371.26,0.76964,0.61433,1.15613,0.86184,0.9091,0.95384,0.749,0.70455,0.51444,1.1184,0.00946752,0.00946752,0.00946752
151,1380.4,0.79266,0.62331,1.16859,0.89211,0.89598,0.95496,0.76527,0.69995,0.52421,1.12056,0.00946048,0.00946048,0.00946048
152,1389.5,0.75134,0.61171,1.1911,0.91617,0.88298,0.95275,0.7557,0.6963,0.52449,1.10967,0.0094534,0.0094534,0.0094534
153,1398.17,0.76835,0.61134,1.17742,0.86384,0.91769,0.95334,0.74314,0.7181,0.54367,1.11465,0.00944628,0.00944628,0.00944628
154,1407.3,0.72437,0.59475,1.16687,0.84942,0.93298,0.96606,0.76231,0.69391,0.51375,1.11143,0.00943911,0.00943911,0.00943911
155,1416.14,0.79009,0.61869,1.16924,0.89294,0.91686,0.96413,0.75872,0.69352,0.53459,1.1057,0.00943189,0.00943189,0.00943189
156,1424.84,0.75283,0.59595,1.16971,0.90186,0.92014,0.97704,0.77236,0.69351,0.52973,1.10753,0.00942464,0.00942464,0.00942464
157,1433.55,0.74011,0.59,1.13243,0.81145,0.95924,0.96433,0.77201,0.68391,0.51087,1.09385,0.00941734,0.00941734,0.00941734
158,1442.43,0.76968,0.60077,1.15541,0.88513,0.9287,0.97013,0.7822,0.69322,0.50247,1.09914,0.00941,0.00941,0.00941
159,1451.18,0.74644,0.60015,1.16864,0.85942,0.94211,0.95893,0.76218,0.67879,0.51995,1.08813,0.00940262,0.00940262,0.00940262
160,1460.5,0.74271,0.58118,1.15166,0.83197,0.9455,0.97886,0.78676,0.68057,0.49724,1.09526,0.00939519,0.00939519,0.00939519
161,1469.31,0.72705,0.57531,1.1694,0.84745,0.93332,0.96159,0.77641,0.68496,0.50623,1.10245,0.00938772,0.00938772,0.00938772
162,1478.41,0.77206,0.5898,1.15736,0.86867,0.9077,0.97932,0.78263,0.67939,0.50658,1.09468,0.0093802,0.0093802,0.0093802
163,1487.23,0.74456,0.57829,1.1626,0.87836,0.8793,0.96483,0.76876,0.6904,0.51592,1.09983,0.00937265,0.00937265,0.00937265
164,1496.57,0.77873,0.59005,1.14668,0.84513,0.94044,0.95659,0.75767,0.6989,0.49405,1.10765,0.00936505,0.00936505,0.00936505
165,1506.1,0.73999,0.56962,1.14608,0.86057,0.93491,0.973,0.78166,0.67968,0.53221,1.09959,0.00935741,0.00935741,0.00935741
